system_name,id,manufacturer_id,source_document_id,source_chunk_id,production_component_id,sku,name,description,category,uom,length_mm,width_mm,height_mm,thickness_mm,depth_mm,gauge_mm,diameter_mm,roll_m,weight_kg,pieces,volume_ml,weight_g,pack_format,supplier_pack_qty,supplier_pack_uom,supplier_pack_note,material,finish,colour,profile,texture,coverage_m2,image_url,website_url,parser_notes,extracted_at,sort_order,extraction_confidence,verification_status,verified_by,verified_at,reviewer_notes,created_at,updated_at
DESIGNER GROOVE VJ100,,,,,,,2mm x 40mm anti-rust bullet head nail,"Hammer fixing for DESIGNER GROOVE wall linings. Required nail length must penetrate studs by at least 30mm. Nail spacing maximum 500mm apart in dry areas or maximum 400mm apart in wet areas, fixing sheet to all studs and noggins.",Nail fixing,,40,,,,,,2,,,,,,,,,,Anti-rust nail,,,,,,,https://forest.one/media/sparsh/product_attachment/ForestOne_Designer_Groove_Full_Brochure_-_05.24.pdf,,,1,0.9,pending_review,,,,,
DESIGNER GROOVE VJ100,,,,,,,Paslode ND Brads 14ga x 45mm,"Nail gun fixing for DESIGNER GROOVE wall linings. Required nail length must penetrate studs by at least 30mm. Nail spacing maximum 500mm apart in dry areas or maximum 400mm apart in wet areas, fixing sheet to all studs and noggins.",Nail fixing,,45,,,,,,,,,,,,,,,,Brad nail,,,,,,,https://forest.one/media/sparsh/product_attachment/ForestOne_Designer_Groove_Full_Brochure_-_05.24.pdf,,,2,0.9,pending_review,,,,,
DESIGNER GROOVE VJ100,,,,,,,Paslode Duo-Fast C2.5 x 45 Ring Shank,"Nail gun fixing for DESIGNER GROOVE ceiling linings. Required nail length must penetrate studs by at least 30mm. Nail spacing maximum 500mm apart in dry areas or maximum 400mm apart in wet areas, fixing sheet to all studs and noggins.",Ceiling nail fixing,,45,,,,,,,,,,,,,,,,Ring shank nail,,,,,,,https://forest.one/media/sparsh/product_attachment/ForestOne_Designer_Groove_Full_Brochure_-_05.24.pdf,,,3,0.9,pending_review,,,,,
DESIGNER GROOVE VJ100,,,,,,,ICCONS Needle point CSK head screw TP796,"Screw fixing to timber frame for DESIGNER GROOVE. Size stated as 8-15 x 20 or 30mm. Screw spacing maximum 500mm apart in dry areas or maximum 400mm apart in wet areas, fixing sheet to all studs and noggins.",Timber frame screw fixing,,,,,,,,,,,,,,,,,,,,Screw,,,,,,,https://forest.one/media/sparsh/product_attachment/ForestOne_Designer_Groove_Full_Brochure_-_05.24.pdf,,,4,0.9,pending_review,,,,,
DESIGNER GROOVE VJ100,,,,,,,ICCONS Collated Needle point CSK head screw 796C or 798C,"Collated screw fixing to timber frame for DESIGNER GROOVE. Size stated as 8-15 x 20 or 30mm. Screw spacing maximum 500mm apart in dry areas or maximum 400mm apart in wet areas, fixing sheet to all studs and noggins.",Timber frame screw fixing,,,,,,,,,,,,,,,,,,,,Collated screw,,,,,,,https://forest.one/media/sparsh/product_attachment/ForestOne_Designer_Groove_Full_Brochure_-_05.24.pdf,,,5,0.9,pending_review,,,,,
DESIGNER GROOVE VJ100,,,,,,,ICCONS Self-Drilling CSK head self embed screw TP326,"Screw fixing to steel frame for DESIGNER GROOVE. Size stated as 8-18 x 20 or 30mm. Screw spacing maximum 500mm apart in dry areas or maximum 400mm apart in wet areas, fixing sheet to all studs and noggins.",Steel frame screw fixing,,,,,,,,,,,,,,,,,,,,Self-drilling screw,,,,,,,https://forest.one/media/sparsh/product_attachment/ForestOne_Designer_Groove_Full_Brochure_-_05.24.pdf,,,6,0.9,pending_review,,,,,
DESIGNER GROOVE VJ100,,,,,,,ICCONS Collated Self-Drilling CSK head self embed screw 344C or 346C,"Collated screw fixing to steel frame for DESIGNER GROOVE. Size stated as 8-15 x 20 or 30mm. Screw spacing maximum 500mm apart in dry areas or maximum 400mm apart in wet areas, fixing sheet to all studs and noggins.",Steel frame screw fixing,,,,,,,,,,,,,,,,,,,,Collated self-drilling screw,,,,,,,https://forest.one/media/sparsh/product_attachment/ForestOne_Designer_Groove_Full_Brochure_-_05.24.pdf,,,7,0.9,pending_review,,,,,
DESIGNER GROOVE VJ100,,,,,,,Flexible construction adhesive or stud adhesive,"Adhesive for fixing DESIGNER GROOVE sheets to studs and noggins. Apply generous dollops/acorns to studs and noggins before fixing each sheet. Maximum 500mm apart in dry areas or maximum 400mm apart in wet areas. Over existing walls, apply a 5mm bead in a zig zag pattern over existing lining.",Adhesive,,,,,,,,,,,,,,,,,,,,Flexible construction adhesive or stud adhesive,,,,,,,https://forest.one/media/sparsh/product_attachment/ForestOne_Designer_Groove_Full_Brochure_-_05.24.pdf,,,8,0.9,pending_review,,,,,
DESIGNER GROOVE VJ100,,,,,,,9mm MDF off-cut or 10mm timber spacer,Spacer for DESIGNER GROOVE installation. Brochure states to use off-cuts of the 9mm MDF or 10mm timber pieces.,Spacer,,,,,,,,,,,,,,,,,,,,9mm MDF or 10mm timber,,,,,,,https://forest.one/media/sparsh/product_attachment/ForestOne_Designer_Groove_Full_Brochure_-_05.24.pdf,,,9,0.9,pending_review,,,,,
DESIGNER GROOVE VJ100,,,,,,,PVA adhesive,PVA adhesive for gluing corners together and mouldings in place.,Adhesive,,,,,,,,,,,,,,,,,,,,PVA adhesive,,,,,,,https://forest.one/media/sparsh/product_attachment/ForestOne_Designer_Groove_Full_Brochure_-_05.24.pdf,,,10,0.9,pending_review,,,,,
DESIGNER GROOVE VJ100,,,,,,,Timber based filler,Timber based filler to fill nail or screw holes.,Filler,,,,,,,,,,,,,,,,,,,,Timber based filler,,,,,,,https://forest.one/media/sparsh/product_attachment/ForestOne_Designer_Groove_Full_Brochure_-_05.24.pdf,,,11,0.9,pending_review,,,,,
DESIGNER GROOVE VJ150,,,,,,,2mm x 40mm anti-rust bullet head nail,"Hammer fixing for DESIGNER GROOVE wall linings. Required nail length must penetrate studs by at least 30mm. Nail spacing maximum 500mm apart in dry areas or maximum 400mm apart in wet areas, fixing sheet to all studs and noggins.",Nail fixing,,40,,,,,,2,,,,,,,,,,Anti-rust nail,,,,,,,https://forest.one/media/sparsh/product_attachment/ForestOne_Designer_Groove_Full_Brochure_-_05.24.pdf,,,1,0.9,pending_review,,,,,
DESIGNER GROOVE VJ150,,,,,,,Paslode ND Brads 14ga x 45mm,"Nail gun fixing for DESIGNER GROOVE wall linings. Required nail length must penetrate studs by at least 30mm. Nail spacing maximum 500mm apart in dry areas or maximum 400mm apart in wet areas, fixing sheet to all studs and noggins.",Nail fixing,,45,,,,,,,,,,,,,,,,Brad nail,,,,,,,https://forest.one/media/sparsh/product_attachment/ForestOne_Designer_Groove_Full_Brochure_-_05.24.pdf,,,2,0.9,pending_review,,,,,
